Juan Pablo,1020789,M,272281,3,4,2.3,1,2,5,3,4,2,3,
Juan Pérez,1020788,M,272281,3.2,4.1,2.9,4,4,3.8,4.2,3.7,4.1,3.9
María Rodríguez,198765,F,241215,4.5,4.3,4.8,4.2,4.6,4.7,4.4,4.1,4.5,2
Luis Martínez,203498,M,290302,3.8,3.5,3.9,3.6,3.7,3.8,4,3.9,4.2,2
Carla Mendoza,176543,F,200405,4.1,3.9,4,3.7,3.8,4.2,4.3,3.9,4.1,3
Marcos Morales,214567,M,180601,3.4,5,5,3.1,3.5,3.2,3.7,3.4,3.8,2
Ana María Pérez,189432,F,120918,4.6,4.4,4.8,4.7,4.5,4.9,4.7,4.3,4.6,4
Marta Fernández,225678,F,270803,4.2,4.1,4.3,4.1,4.4,4.2,4.5,4.3,4.7,2
Paola Maldonado,197654,F,140525,4.3,4.1,4.5,4.2,4.4,4.3,4.6,4.2,4.8,3
Melissa Muñoz,208765,F,050924,3.9,4,3.8,3.7,4,3.9,4.1,4,3.9,2
Mariana Gómez,185432,F,180303,4.4,4.3,4.5,4.2,4.6,4.4,4.7,4.3,4.5,2
Miriam Silva,217890,F,050827,3.8,3.7,3.9,3.5,3.7,3.8,3.9,3.6,3.8,3
Miguel López,209876,M,270410,3.3,3.2,3.5,3.1,3.4,3.2,3.6,3.3,3.7,4,
Mónica Torres,191234,F,140212,4.2,4,4.4,4.1,4.3,4.1,4.5,4.2,4.4,2
Mayra López,210987,F,090725,4.1,4.2,4.5,4,4.3,4.2,4.6,4.1,4.4,1
